grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Reconciling Ministries Network,/grants/grantee/reconciling-ministries-network,2018,"$72,000",Gay and Lesbian Rights,Public Education,"To promote LGBT inclusion within the United Methodist Church. $72,000"
Red Tab Foundation,/grants/grantee/red-tab-foundation,2018,"$5,000",Community,,
Red Tab Foundation,/grants/grantee/red-tab-foundation,2018,"$25,000",Community,,
Reformation Project,/grants/grantee/reformation-project,2018,"$100,000",Gay and Lesbian Rights,Public Education,"To educate the public about growing support in the evangelical movement for full inclusion of LGBT people. $100,000"
"Regents of the University of California, Los Angeles",/grants/grantee/regents-of-the-university-of-california-los-angeles,2018,"$75,000",Gay and Lesbian Rights,Research & Communications,"For the Williams Institute to conduct and disseminate research on the impact of supportive and discriminatory LGBT policies. $75,000"
Rockwood Leadership Institute,/grants/grantee/rockwood-leadership-institute,2018,"$300,000",Leadership,Strengthening Social Movements,"To launch a new national fellowship for leaders in fundraising and to support participation in its signature leadership programs. $300,000 over 18 months (2018-2020)"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2018,"$30,000",Community,,"For an advised fund. $30,000"
San Francisco Planning and Urban Research Association,/grants/grantee/san-francisco-planning-and-urban-research-association,2018,"$5,000",Community,,
Services and Advocacy for GLBT Elders,/grants/grantee/services-and-advocacy-for-glbt-elders,2018,"$55,000",Leadership,Investing in Our Grantees,"To prepare executives to lead an increasingly complex and diverse organization. $55,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2018,"$85,000",Immigrant Rights,California Statewide and Local Policy,"To lead community education efforts for immigrants and refugees in the South Bay. $85,000"
Sierra Health Foundation Center for Health Program Management,/grants/grantee/sierra-health-foundation-center-for-health-program-management,2018,"$100,000",Immigrant Rights,California Civic Participation,"To increase Latino, Hmong, and African American organizing, voting, and leadership in Fresno County. $100,000"
Society of St. Vincent de Paul of Alameda County,/grants/grantee/society-of-st-vincent-de-paul-of-alameda-county,2018,"$20,000",Community,,
Spark,/grants/grantee/spark,2018,$500,Community,,
"Spitfire Strategies, LLC",/grants/grantee/spitfire-strategies-llc,2018,"$30,000",Gay and Lesbian Rights,Research & Communications,"To coordinate the Fund's ninth annual convening of LGBT newspaper editors and bloggers. $30,000"
St. Anthony Foundation,/grants/grantee/st-anthony-foundation,2018,"$25,000",Community,,
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2018,"$1,500",Community,,
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2018,"$15,000",Community,,
Tides Center,/grants/grantee/tides-center,2018,"$7,500",Community,,
Tides Center,/grants/grantee/tides-center,2018,"$1,200,000",Leadership,Investing in Our Grantees,"To support the Haas Leadership Investments project, to provide flexible leadership support and implement a fundraising program ($1,200,000)"
Tides Foundation,/grants/grantee/tides-foundation,2018,"$200,000",Immigrant Rights,California Civic Participation,"To increase immigrant civic engagement in the Inland Empire. $200,000 over two years"
Transgender Law Center,/grants/grantee/transgender-law-center,2018,"$115,000",Gay and Lesbian Rights,Nondiscrimination,"To secure nondiscrimination protections for transgender people through litigation, public education, and policy advocacy. $115,000"
Turn On To America (T.O.T.A.),/grants/grantee/turn-on-to-america-t-o-t-a,2018,"$10,000",Community,,
United Way of the Bay Area,/grants/grantee/united-way-of-the-bay-area,2018,"$20,000",Community,,
"University of California, Berkeley",/grants/grantee/university-of-california-berkeley,2018,"$100,000",Leadership,Strengthening Social Movements,"To launch a yearlong executive leadership program for nonprofit directors and to plan the public launch of the Center?s executive education program. $100,000"
"University of California, Berkeley",/grants/grantee/university-of-california-berkeley,2018,"$10,000",Community,,
Wheaton College,/grants/grantee/wheaton-college,2018,"$5,000",Community,,
A Safe Place,/grants/grantee/a-safe-place,2017,"$10,000",Community,,
Alameda County Community Food Bank,/grants/grantee/alameda-county-community-food-bank,2017,"$80,000",Community,,"To distribute nutritious food to children, adults and seniors struggling with food-insecurity in Alameda County. $80,000 over two years (2017-2019)"
Alameda Family Services,/grants/grantee/alameda-family-services,2017,"$15,000",Community,,
Alliance San Diego,/grants/grantee/alliance-san-diego,2017,"$15,000",Leadership,Investing in Our Grantees,
Allied Media Projects,/grants/grantee/allied-media-projects,2017,"$125,000",Immigrant Rights,California Civic Participation,"For the 18MillionRising.org project to conduct online advocacy and organizing in Asian American communities. $125,000"
America's Voice Educational Fund,/grants/grantee/america-s-voice-educational-fund,2017,"$165,000",Immigrant Rights,Federal Immigration Reform,
America's Voice Educational Fund,/grants/grantee/america-s-voice-educational-fund,2017,"$40,000",Immigrant Rights,,"To bring expertise gained through the marriage equality movement to support immigrant rights messaging research. $40,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2017,"$200,000",Gay and Lesbian Rights,Litigation,"For the LGBT & HIV Project to pursue litigation defending marriage equality and advancing nondiscrimination protections for LGBT people. $200,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2017,"$100,000",Gay and Lesbian Rights,Research & Communications,"$100,000 for the LGBT & HIV Project to coordinate a public education campaign around the Masterpiece Cakeshop Supreme Court case"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2017,"$100,000",Gay and Lesbian Rights,Research & Communications,"For the LGBT & HIV Project to support public education efforts around the G.G. v. Glouster County Supreme Court case. $100,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$15,000",Leadership,Investing in Our Grantees,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$200,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to advance immigrant rights and integration policies. $200,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$25,000",Leadership,Investing in Our Grantees,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$125,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to continue managing a research project to gain a much deeper understanding of how Americans think about immigrants. $125,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$200,000",Immigrant Rights,California Statewide and Local Policy,"To manage a research project to gain a much deeper and broader understanding of how Americans think about immigrants. $200,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$25,000",Leadership,Investing in Our Grantees,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2017,"$15,000",Leadership,Investing in Our Grantees,
Asian Americans/Pacific Islanders in Philanthropy,/grants/grantee/asian-americans-pacific-islanders-in-philanthropy,2017,"$2,500",Community,,
Asian Americans/Pacific Islanders in Philanthropy,/grants/grantee/asian-americans-pacific-islanders-in-philanthropy,2017,"$10,000",Community,,
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2017,"$15,000",Leadership,Investing in Our Grantees,
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2017,"$200,000",Immigrant Rights,California Civic Participation,"To increase civic participation of marginalized communities in the East Bay and statewide. $200,000 over two years (2017-2019)"
Asian Women's Shelter,/grants/grantee/asian-women-s-shelter,2017,"$10,000",Community,,
Bay Area Rescue Mission,/grants/grantee/bay-area-rescue-mission,2017,"$25,000",Community,,
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2017,"$50,000",Leadership,Investing in Our Grantees,"For strategic planning and strengthening of staff capabilities. $50,000"
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2017,"$15,000",Leadership,Investing in Our Grantees,
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2017,"$150,000",Immigrant Rights,Federal Immigration Reform,"To engage African Americans and Black immigrants in the immigrant rights movement. $150,000 over 24 months"
BoardSource,/grants/grantee/boardsource,2017,"$50,000",Leadership,Advancing Knowledge and Learning,"To increase diversity on nonprofit boards and debunk myths that impede nonprofits' fundraising success. $50,000"
Buck Institute for Age Research,/grants/grantee/buck-institute-for-age-research,2017,"$5,000",Community,,
Building Futures With Women & Children,/grants/grantee/building-futures-with-women-children,2017,"$20,000",Community,,
Cal Alumni Association,/grants/grantee/cal-alumni-association,2017,"$20,000",Community,,
California Academy of Sciences,/grants/grantee/california-academy-of-sciences,2017,"$5,000",Community,,
California Bar Foundation,/grants/grantee/california-bar-foundation,2017,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To monitor and protect immigrant integration policies in California. $100,000 over two years (2017-2019)"
California Budget and Policy Center,/grants/grantee/california-budget-and-policy-center,2017,"$20,000",Education Equity,,
California Calls Education Fund,/grants/grantee/california-calls-education-fund,2017,"$600,000",Immigrant Rights,California Civic Participation,"For California Calls Education Fund and the African American Civic Engagement Project. $600,000 over two years"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2017,"$2,000",Community,,
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2017,"$30,000",Community,,"For the African American and Sister to Sister Breast Health Programs and the Kalmanovitz Child Development Center. $30,000"
CalNonprofits,/grants/grantee/calnonprofits,2017,"$5,000",Community,,
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2017,"$15,000",Leadership,Investing in Our Grantees,
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2017,"$200,000",Education Equity,College Access and Success,"To educate Californians about the need to improve student success in community colleges, and to support the implementation of college access reforms in the Bay Area and statewide. $200,000"
Campus Pride,/grants/grantee/campus-pride,2017,"$15,000",Gay and Lesbian Rights,Public Education,
Center for American Progress,/grants/grantee/center-for-american-progress,2017,"$50,000",Gay and Lesbian Rights,Public Education,"To influence public debates around protecting civil rights protections and safeguarding religious liberties. $50,000"
Center for Community Change,/grants/grantee/center-for-community-change,2017,"$75,000",Leadership,Fundraising,"For integrating racial equity into its leadership practices and conducting a feasibility study on scalable approaches to small-donor fundraising. $75,000"
Center for Community Change,/grants/grantee/center-for-community-change,2017,"$200,000",Immigrant Rights,Federal Immigration Reform,"For nationwide deportation defense and organizing to keep families unified. $200,000"
Center for Community Change,/grants/grantee/center-for-community-change,2017,"$125,000",Leadership,Fundraising,"For the Progressive Multiplier Fund to invest in scalable approaches to small-donor fundraising. $125,000"
Center for Effective Philanthropy,/grants/grantee/center-for-effective-philanthropy,2017,"$5,000",Community,,
Center for Investigative Reporting,/grants/grantee/center-for-investigative-reporting,2017,"$1,000",Community,,
Centerlink,/grants/grantee/centerlink,2017,"$10,000",Gay and Lesbian Rights,Public Education,
Central Coast Alliance United for a Sustainable Economy,/grants/grantee/central-coast-alliance-united-for-a-sustainable-economy,2017,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To organize farmworkers and Latino immigrants in the Central Coast ($50,000)"
